YEAR,GoogleKnowlege_OccupationShow,Group,Raw_Guest_List
1999,actor,3/4/99,Ryan Phillippe
1999,actor,3/8/99,Ian McKellen
1999,actor,3/9/99,Jon Voight
1999,actor,4/1/99,Stephen Baldwin
1999,actor,4/12/99,Ernie Hudson
1999,film actor,4/13/99,Josh Charles
1999,actor,4/14/99,Jackie Chan
1999,actress,4/15/99,Marlee Matlin
1999,actress,4/19/99,Sharon Lawrence
1999,actor,4/20/99,Rob Estes
1999,actress,4/21/99,Angelina Jolie
1999,stand-up comedian,4/22/99,David Spade
1999,actor,4/26/99,Seth Green
1999,actress,4/27/99,Sheryl Lee Ralph
1999,singer,4/28/99,Chris Robinson
1999,comedian,4/29/99,Joy Behar
1999,actor,5/10/99,Thomas Gibson
1999,actress,5/11/99,Paula Cale
1999,actor,5/12/99,Ted Danson
1999,actor,5/13/99,Esai Morales
1999,actress,5/17/99,Jane Seymour
1999,Comedian,5/18/99,Robert Schimmel
1999,actress,5/19/99,Camryn Manheim
1999,actor,5/20/99,Ray Romano
1999,television actress,5/24/99,Patricia Richardson
1999,actress,5/25/99,Suzanne Somers
1999,actress,5/26/99,Natalie Portman
1999,actor,5/27/99,Jamie Foxx
1999,actor,6/10/99,Timothy Hutton
1999,actor,6/14/99,Mike Myers
1999,actor,6/15/99,Rob Lowe
1999,actor,6/16/99,Mike Myers
1999,actress,6/17/99,Heather Graham
1999,film actress,6/21/99,Felicity Huffman
1999,television host,6/22/99,Jimmy Kimmel
1999,actor,6/23/99,Adam Sandler
1999,Stand-up comedian,6/24/99,Richard Belzer
1999,Comedian,6/28/99,Margaret Cho
1999,actor,6/29/99,Scott Wolf
1999,actress,6/30/99,Roseanne Barr
1999,singer,6/7/99,Harry Connick Jr.
1999,comedian,6/8/99,Caroline Rhea
1999,actor,6/9/99,Damon Wayans
1999,actor,7/1/99,Rob Schneider
1999,televison actor,7/12/99,Adam Arkin
1999,muppet,7/13/99,Miss Piggy
1999,actor,7/14/99,John Leguizamo
1999,Stand-up comedian,7/15/99,Robert Klein
1999,actress,7/19/99,Christa Miller
1999,stand-up comedian,7/20/99,David Brenner
1999,NA,7/21/99,Third Anniversary Special
1999,actress,7/22/99,Joely Fisher
1999,singer,7/26/99,Donny Osmond
1999,actress,7/27/99,Wendie Malick
1999,Vocalist,7/28/99,Vince Neil
1999,film actress,7/29/99,Janeane Garofalo
1999,comedian,8/10/99,Dom Irrera
1999,actor,8/11/99,Pierce Brosnan
1999,director,8/12/99,"Eduardo Sanchez, Daniel Myrick"
1999,american television personality,8/16/99,Carson Daly
1999,actress,8/17/99,Molly Ringwald
1999,actress,8/18/99,Sarah Jessica Parker
1999,actor,8/19/99,French Stewart
1999,actress,8/2/99,Bebe Neuwirth
1999,actress,8/23/99,Cheryl Ladd
1999,rapper,8/24/99,LL Cool J
1999,singer-songwriter,8/25/99,Dwight Yoakam
1999,actress,8/26/99,Nia Long
1999,actor,8/3/99,Garry Marshall
1999,actor,8/4/99,Denis Leary
1999,actor,8/5/99,Jeffrey Tambor
1999,actor,8/9/99,Dave Foley
1999,comedian,9/13/99,Elayne Boosler
1999,actor,9/14/99,Tom Green
1999,actor,9/15/99,Jason Priestley
1999,stand-up comedian,9/16/99,David Cross
1999,actor,9/20/99,Andy Richter
1999,"singer, comedian",9/21/99,"Donny Osmond, Marie Osmond"
1999,comedian,9/22/99,Dave Chappelle
1999,actor,9/23/99,Steve Zahn
1999,Stand-up comedian,9/27/99,Norm Macdonald
1999,actress,9/28/99,Melissa Joan Hart
1999,Comedian,9/29/99,Richard Lewis
1999,"actor, comedian",9/30/99,"Bruce McCulloch, Mark McKinney"
